#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
278769:5197,08/13/16 06:38:56,30,30,7.888305507,7.290296385
278801:5198,08/13/16 14:43:37,38,38,10.235697247,7.893317208
278802:5198,08/13/16 15:01:05,17,17,4.075930338,1.725288660
278803:5198,08/13/16 15:10:53,318,318,78.158455258,72.262552466
278804:5198,08/13/16 17:20:06,4,4,0.921217559,0.755142511
278805:5198,08/13/16 17:23:57,274,274,59.723501408,56.007325874
278808:5198,08/13/16 19:25:19,1791,1791,282.719718879,272.186693378
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#2,7,2472,2472,443.722826195,418.120616481
#Check JSON:
#(run,ls) in json but not in results: []
