#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
278820:5199,08/14/16 11:00:51,1517,1517,301.316068762,289.436861837
278822:5199,08/14/16 21:52:47,1627,1627,199.018809894,192.814294878
278873:5205,08/15/16 23:25:45,60,60,11.377664767,2.032904330
278874:5205,08/15/16 23:51:53,477,477,87.891891785,82.659432331
278875:5205,08/16/16 03:01:20,833,833,121.406045598,116.011100563
278923:5206,08/16/16 12:16:32,413,413,104.061633468,99.646041291
278957:5209,08/16/16 21:31:36,149,149,38.154003549,36.574296408
278962:5210,08/17/16 01:08:31,341,341,82.632823824,76.813044621
278963:5210,08/17/16 03:24:57,174,174,38.947004246,37.440156936
278969:5211,08/17/16 07:16:52,1386,1386,298.435342078,285.466322515
278975:5211,08/17/16 16:23:16,848,848,126.820421135,121.101529229
278976:5211,08/17/16 21:58:16,20,20,2.678462011,2.577859927
278986:5213,08/18/16 04:02:59,129,129,34.035976042,31.910669239
279024:5219,08/18/16 22:31:53,301,301,52.734373596,50.088375621
279029:5219,08/19/16 02:19:40,260,260,40.451141244,38.452134927
279071:5222,08/19/16 15:40:07,174,174,23.702022740,22.788490894
279080:5223,08/19/16 22:42:50,157,157,13.339324720,12.876333282
279115:5229,08/20/16 22:08:09,407,407,88.522114158,85.189739154
279116:5229,08/21/16 01:36:03,448,448,95.442823419,91.582775947
279479:5247,08/25/16 04:33:24,105,105,6.335006515,5.993889315
279588:5251,08/25/16 21:08:11,1160,1160,239.315561700,230.879394483
279653:5253,08/26/16 14:05:52,181,181,45.532341486,43.879144232
279654:5253,08/26/16 15:21:58,1245,1245,250.959287544,242.855226225
279656:5253,08/26/16 23:49:40,43,43,6.794934243,5.736805689
279658:5253,08/27/16 01:35:19,712,712,96.909137620,94.227309686
279667:5254,08/27/16 09:08:23,966,966,218.139225584,210.966707656
279681:5256,08/27/16 21:57:02,28,28,7.338150842,6.746151220
279682:5256,08/27/16 22:11:02,33,33,8.697552825,7.864511046
279683:5256,08/27/16 22:32:16,26,26,6.778241697,6.434360365
279684:5256,08/27/16 22:46:58,22,22,5.610400260,5.362301941
279685:5256,08/27/16 23:07:12,208,208,50.571510081,48.949064954
279691:5257,08/28/16 03:41:26,43,43,10.360994377,9.765373369
279694:5257,08/28/16 04:03:09,2235,2235,422.637126547,410.524767765
279715:5258,08/28/16 22:01:34,577,577,134.594200028,129.165227546
279716:5258,08/29/16 02:17:06,1638,1638,265.251087354,258.407240551
279760:5261,08/29/16 20:21:24,655,655,160.388262389,155.199085021
279766:5261,08/30/16 01:08:36,1689,1689,278.885486290,270.889643051
279767:5261,08/30/16 12:08:03,776,776,92.636863447,90.583908406
279794:5264,08/30/16 23:41:02,1024,1024,232.460795925,225.486946739
279823:5265,08/31/16 10:00:39,335,335,85.329203984,82.750018812
279841:5266,08/31/16 15:23:17,2040,2040,396.657811091,384.216979056
279844:5267,09/01/16 07:21:16,224,224,59.896667850,57.240985651
279887:5270,09/01/16 23:20:52,316,316,77.287506271,74.126575474
279931:5274,09/02/16 11:37:39,2934,2934,494.764666545,479.950449652
279966:5275,09/03/16 09:20:25,363,363,98.086749086,94.085114050
279975:5276,09/03/16 14:45:09,1024,1024,250.777578361,241.662519616
279993:5277,09/04/16 00:23:27,72,72,19.488137592,18.287473875
279994:5277,09/04/16 00:56:48,47,47,13.272830014,12.524964325
280013:5277,09/04/16 03:35:47,25,25,5.931985907,5.697174876
280015:5277,09/04/16 03:55:19,572,572,120.942442904,116.388172267
280016:5277,09/04/16 07:42:16,149,149,27.826513481,26.838405687
280017:5277,09/04/16 08:45:47,608,608,101.855771359,98.921383973
280018:5277,09/04/16 12:47:05,1281,1281,164.738745475,160.429976831
280020:5277,09/04/16 21:15:15,45,45,4.826981499,4.651995966
280024:5277,09/04/16 21:47:39,427,427,42.966907383,42.184958448
280187:5279,09/05/16 20:24:23,56,56,14.501693352,13.371070842
280188:5279,09/05/16 20:50:25,245,245,64.912961008,62.262210176
280191:5279,09/05/16 22:40:17,897,897,187.543339490,180.805054779
280194:5279,09/06/16 05:36:21,238,238,38.265302105,37.123022422
280242:5282,09/06/16 15:43:40,625,625,155.546139833,149.332061360
280249:5282,09/06/16 19:52:07,1432,1432,249.535339017,241.480182990
280251:5282,09/07/16 05:14:58,371,371,48.858038831,47.592500760
280327:5287,09/08/16 08:23:13,37,37,9.654747782,8.819256309
280330:5287,09/08/16 08:46:53,857,857,194.959845970,187.767451300
280349:5287,09/08/16 14:27:22,620,620,108.670894379,105.115018350
280363:5287,09/08/16 18:47:24,359,359,52.177640717,50.468859201
280364:5287,09/08/16 21:09:57,1349,1349,162.264838950,156.605509724
280383:5288,09/09/16 08:41:13,2,2,0.550822944,0.250884348
280384:5288,09/09/16 08:49:12,33,33,8.554254494,7.897891894
280385:5288,09/09/16 09:11:36,2012,2012,382.392840543,368.580819356
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#32,70,42682,42682,7944.203312007,7652.808365558
#Check JSON:
#(run,ls) in json but not in results: []
