#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
281613:5331,09/25/16 06:03:32,791,791,11.406932294,9.854509957
281639:5338,09/26/16 07:45:13,132,132,20.460171192,19.206349049
281641:5338,09/26/16 09:34:34,319,319,41.453981714,39.703344758
281693:5339,09/26/16 16:57:00,2191,2191,392.769987857,379.849391661
281707:5340,09/27/16 09:47:29,950,950,226.233164531,216.904518817
281726:5340,09/27/16 16:14:38,288,288,51.582677663,49.834009182
281727:5340,09/27/16 18:10:03,1605,1605,209.736411550,203.808378520
281797:5345,09/28/16 12:04:48,2052,2052,416.945918178,401.981324462
281975:5351,09/30/16 03:23:12,215,215,59.112936871,54.587500972
281976:5351,09/30/16 04:48:03,2166,2166,356.897526974,343.304198236
282033:5352,09/30/16 21:30:43,36,36,9.057362936,8.351861766
282034:5352,09/30/16 21:48:05,33,33,9.442516143,8.733301256
282035:5352,09/30/16 22:03:01,40,40,11.061057820,9.514642292
282037:5352,09/30/16 22:24:14,1861,1861,348.879788549,334.747246177
282092:5355,10/02/16 13:49:37,1784,1784,309.686032921,299.676595342
282708:5391,10/09/16 08:39:30,8,8,2.529322482,2.144558253
282710:5391,10/09/16 08:49:08,3,3,0.887641715,0.350703733
282712:5391,10/09/16 09:00:13,60,60,17.728019817,16.882291501
282730:5393,10/09/16 12:41:53,76,76,22.550754895,20.631795438
282731:5393,10/09/16 13:13:59,172,172,50.887274693,48.048286492
282732:5393,10/09/16 14:23:16,69,69,19.028956609,18.281461830
282733:5393,10/09/16 14:52:26,177,177,45.351658348,43.632313666
282734:5393,10/09/16 16:03:11,327,327,73.898232816,71.211183626
282735:5393,10/09/16 18:12:39,1819,1819,279.923305719,272.048476858
282800:5394,10/10/16 14:17:15,377,377,98.335385816,94.644854940
282807:5394,10/10/16 16:48:03,326,326,75.265041712,71.321820380
282814:5394,10/10/16 18:58:58,1843,1843,287.645140749,278.819558372
282842:5395,10/11/16 10:34:00,80,80,24.793098380,23.797366046
282917:5401,10/12/16 01:27:07,74,74,19.114676245,18.171728429
282918:5401,10/12/16 02:00:22,51,51,13.589616261,13.025008550
282919:5401,10/12/16 02:23:36,243,243,60.010505303,57.863735171
282922:5401,10/12/16 05:09:33,131,131,27.647991907,25.785002110
282923:5401,10/12/16 06:04:20,219,219,42.927011441,40.888008019
283042:5405,10/12/16 22:38:59,6,6,1.619611896,1.435533013
283043:5405,10/12/16 22:44:16,517,517,123.243091374,117.972506173
283049:5406,10/13/16 05:05:17,12,12,3.942168810,3.171816897
283050:5406,10/13/16 05:13:23,212,212,62.784775798,58.639570178
283052:5406,10/13/16 06:45:19,111,111,30.542613067,29.110576115
283059:5406,10/13/16 08:00:56,450,450,104.072263661,99.841264047
283270:5416,10/14/16 18:39:48,1833,1833,398.710519227,385.521210242
283283:5416,10/15/16 06:37:08,1744,1744,204.092607040,199.136155602
283305:5418,10/15/16 21:41:13,7,7,2.177227455,1.407942072
283306:5418,10/15/16 21:46:57,289,289,81.207958260,77.780642792
283307:5418,10/15/16 23:43:44,454,454,105.901112164,101.384034144
283308:5418,10/16/16 02:46:26,945,945,168.199308115,161.919434433
283353:5421,10/16/16 19:55:17,743,743,200.302690973,193.296966299
283358:5421,10/17/16 00:50:19,980,980,183.191636938,173.997642466
283359:5421,10/17/16 07:15:19,428,428,62.846962736,61.358758101
283407:5423,10/17/16 21:54:07,33,33,11.067050092,9.938878672
283408:5423,10/17/16 22:10:43,2344,2344,478.118051602,461.816465204
283416:5423,10/18/16 15:16:09,195,195,22.427962115,21.812481755
283453:5424,10/18/16 19:07:49,455,455,130.170528329,124.741121080
283469:5426,10/19/16 01:09:36,1,1,0.336328439,0.031461129
283478:5427,10/19/16 04:13:19,874,874,220.830594833,212.593954866
283548:5433,10/19/16 22:58:39,144,144,27.488271941,26.583802767
283680:5437,10/21/16 03:17:51,81,81,19.920221421,19.145317154
283681:5437,10/21/16 03:56:07,17,17,4.058256098,3.854773266
283682:5437,10/21/16 04:08:38,384,384,83.417115472,80.903224795
283685:5437,10/21/16 06:39:38,314,314,21.584448516,20.476214407
283820:5439,10/21/16 20:48:18,1482,1482,270.406683784,261.598726916
283830:5439,10/22/16 06:27:24,722,722,106.078201967,103.188837188
283834:5439,10/22/16 11:11:28,81,81,10.346853445,9.088267858
283835:5439,10/22/16 11:45:28,111,111,13.091961361,11.410359518
283865:5441,10/22/16 17:30:09,1177,1177,276.459279087,267.265935462
283876:5442,10/23/16 03:38:50,657,657,172.033007336,165.629294732
283877:5442,10/23/16 07:59:53,1496,1496,256.054873442,248.062169996
283884:5443,10/23/16 23:44:05,404,404,107.890070074,103.096196050
283885:5443,10/24/16 02:25:30,1723,1723,301.835543805,293.297335361
283933:5446,10/24/16 18:32:31,145,145,42.764658179,40.818540254
283934:5446,10/24/16 19:33:15,1258,1258,282.758142671,272.353913367
283946:5448,10/25/16 07:30:41,1377,1377,315.159306355,303.446666531
283964:5448,10/25/16 16:29:30,388,388,61.117188095,59.246802475
284006:5450,10/26/16 01:53:26,318,318,60.326543660,58.267371882
284014:5450,10/26/16 03:59:16,266,266,49.611442800,48.298875825
284025:5451,10/26/16 08:56:43,48,48,12.766973692,12.336624501
284029:5451,10/26/16 09:19:00,112,112,32.150210445,30.294679235
284035:5451,10/26/16 10:04:52,360,360,91.615673545,88.596368525
284036:5451,10/26/16 12:28:09,346,346,75.575786085,72.473292211
284037:5451,10/26/16 14:48:03,340,340,65.004092789,63.010359628
284038:5451,10/26/16 17:02:16,55,55,9.800280615,9.192518670
284039:5451,10/26/16 17:27:02,30,30,5.248223503,4.843457837
284040:5451,10/26/16 17:42:18,33,33,5.706932506,5.499265881
284041:5451,10/26/16 17:59:11,44,44,7.290656888,6.876668529
284042:5451,10/26/16 18:23:53,129,129,20.785635916,19.884807484
284043:5451,10/26/16 19:17:23,220,220,32.750661186,32.003511511
284044:5451,10/26/16 20:46:05,30,30,4.412021262,4.325714722
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#32,86,47443,47443,9078.134382968,8739.883635677
#Check JSON:
#(run,ls) in json but not in results: []
