#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
273158:4915,05/11/16 20:43:22,1277,1277,53.912518180,50.622091576
273302:4919,05/13/16 02:13:38,459,459,17.147625694,16.450121689
273402:4924,05/14/16 01:49:19,193,193,7.022182030,6.643307564
273403:4924,05/14/16 03:05:27,53,53,1.935112535,1.837158139
273404:4924,05/14/16 03:31:50,18,18,0.652558366,0.616224628
273405:4924,05/14/16 03:42:33,24,24,0.867144861,0.806200590
273406:4924,05/14/16 03:56:09,112,112,3.983421853,3.803280847
273408:4924,05/14/16 04:52:04,6,6,0.210151190,0.181778152
273409:4924,05/14/16 04:56:41,309,309,10.587761909,9.512812344
273410:4924,05/14/16 06:59:49,90,90,2.996130377,2.753035643
273411:4924,05/14/16 07:38:50,29,29,0.791341055,0.741045042
273425:4925,05/14/16 11:17:57,671,671,28.337539096,26.943659585
273446:4926,05/14/16 20:06:55,33,33,2.311589576,2.161349143
273447:4926,05/14/16 20:26:09,411,411,27.460030855,26.143001164
273448:4926,05/14/16 23:11:51,391,391,24.032201347,22.865029087
273449:4926,05/15/16 01:50:28,208,208,12.046139519,11.498144811
273450:4926,05/15/16 03:19:37,643,643,33.907779321,32.466916536
273492:4930,05/16/16 09:07:35,265,265,12.780623867,12.234310419
273493:4930,05/16/16 10:55:49,230,230,10.869087986,10.446198961
273494:4930,05/16/16 12:28:40,192,192,8.782866218,8.498378186
273502:4935,05/16/16 20:00:07,989,989,49.021420310,47.207129490
273503:4935,05/17/16 02:31:25,598,598,26.370329990,25.558231334
273554:4942,05/18/16 05:30:44,361,361,28.067088949,26.915315708
273555:4942,05/18/16 07:55:51,173,173,12.672391167,12.263026038
273725:4947,05/20/16 02:37:26,2462,2462,161.336555258,155.963856364
273728:4947,05/20/16 19:02:26,99,99,5.085243858,4.886301409
273730:4947,05/20/16 19:47:48,2120,2120,89.405184086,87.114763740
274094:4953,05/27/16 02:21:04,225,225,10.213592825,9.827928951
274146:4956,05/27/16 22:11:21,64,64,5.444073328,5.167528251
274157:4958,05/28/16 11:50:04,426,426,42.474316181,40.320662351
274159:4958,05/28/16 14:43:47,43,43,4.056289093,3.593491916
274160:4958,05/28/16 15:02:52,207,207,18.956956675,18.178773790
274161:4958,05/28/16 16:26:18,516,516,44.054574216,42.544989668
274172:4960,05/29/16 00:45:19,65,65,7.141238584,6.331699887
274198:4961,05/29/16 20:00:35,111,111,13.242250632,12.189941338
274199:4961,05/29/16 20:45:19,623,623,69.389608331,66.646476861
274200:4961,05/30/16 00:53:47,674,674,65.519821399,63.574857610
274240:4964,05/30/16 13:59:19,81,81,10.503452393,9.915747073
274241:4964,05/30/16 14:43:35,1168,1166,136.403209989,131.683643361
274244:4964,05/30/16 22:37:51,593,593,58.720569997,56.837860935
274250:4965,05/31/16 05:55:54,700,700,100.943426246,95.532140748
274251:4965,05/31/16 10:30:54,546,546,67.563470870,65.403835434
274283:4976,06/01/16 03:25:26,18,18,2.910368194,0.350115924
274284:4976,06/01/16 03:34:51,210,208,31.654435004,29.866542294
274286:4976,06/01/16 05:04:18,154,154,22.531266538,21.565539365
274314:4979,06/01/16 15:02:56,61,61,11.222627984,10.086863211
274315:4979,06/01/16 15:32:32,424,423,73.807990960,70.057444069
274316:4979,06/01/16 18:20:25,959,959,141.308712726,136.610404201
274317:4979,06/02/16 00:39:53,3,3,0.402499404,0.314270843
274319:4979,06/02/16 00:56:19,225,225,29.423353425,28.457824054
274335:4980,06/02/16 09:10:43,944,944,154.761433572,148.181338230
274336:4980,06/02/16 15:25:02,14,14,2.074850805,1.802283887
274337:4980,06/02/16 15:33:18,15,15,2.211654478,1.841746826
274338:4980,06/02/16 15:41:22,698,698,95.328771644,89.906791669
274339:4980,06/02/16 20:15:40,84,84,10.605774436,10.171766282
274344:4980,06/02/16 21:29:06,627,627,72.969487828,70.546472033
274345:4980,06/03/16 01:37:46,170,170,18.443242297,17.880225620
274382:4984,06/03/16 15:37:56,51,51,8.058244602,7.500507579
274387:4985,06/03/16 19:10:09,352,352,62.379480938,58.817638709
274388:4985,06/03/16 21:32:38,1820,1820,266.131720315,256.527307687
274420:4988,06/04/16 20:17:21,175,175,29.803978087,28.364154066
