#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
275657:5038,06/24/16 03:32:32,105,105,20.120952028,18.443209755
275658:5038,06/24/16 04:16:07,337,337,63.491048595,60.096076847
275659:5038,06/24/16 06:31:38,17,17,3.062350979,2.957970429
275761:5043,06/25/16 04:24:16,9,9,1.920413621,1.681830829
275767:5043,06/25/16 05:31:36,4,4,0.807141945,0.712074914
275772:5043,06/25/16 06:28:17,56,56,10.865080218,10.451059191
275773:5043,06/25/16 06:53:33,7,7,1.337159258,1.193548300
275774:5043,06/25/16 07:01:55,312,312,58.175836060,55.616597704
275776:5043,06/25/16 09:11:23,140,140,24.737333676,23.487065373
275777:5043,06/25/16 10:12:24,300,300,50.384698777,48.382200483
275778:5043,06/25/16 12:13:15,305,305,47.888530596,46.162238694
275782:5043,06/25/16 14:44:49,761,761,104.347219619,100.440868623
275832:5045,06/26/16 17:18:04,367,367,78.293500643,73.405156956
275833:5045,06/26/16 19:45:07,248,248,48.554747342,46.797337948
275834:5045,06/26/16 21:26:02,297,297,54.510747632,52.459222160
275835:5045,06/26/16 23:24:23,13,13,2.293465908,2.089769315
275836:5045,06/26/16 23:32:00,1277,1277,195.294909415,186.382046736
275837:5045,06/27/16 07:59:11,715,715,86.791850379,84.175664734
275847:5045,06/27/16 13:59:22,2263,2263,205.471944702,200.568283349
275886:5048,06/28/16 08:40:35,37,37,8.139033411,7.663539479
275890:5048,06/28/16 09:27:45,1393,1393,247.481112501,237.643512122
275911:5052,06/29/16 01:49:35,377,377,77.239607714,73.962957210
275912:5052,06/29/16 04:21:23,289,289,54.630613922,52.522090499
275913:5052,06/29/16 06:19:55,475,475,81.427342680,77.387909134
275918:5052,06/29/16 09:29:20,332,332,51.968581490,50.183130560
275920:5052,06/29/16 11:56:25,459,459,64.373902237,61.815812692
275921:5052,06/29/16 14:59:30,22,22,2.970446655,2.714342949
275923:5052,06/29/16 15:17:42,125,125,16.523628422,16.046495794
275931:5052,06/29/16 16:34:22,89,89,11.329902587,11.009937101
275963:5056,06/30/16 01:02:54,90,90,20.866718032,19.769759479
276092:5060,07/01/16 02:14:32,76,76,15.951989357,14.927815110
276097:5060,07/01/16 03:07:31,507,507,104.680330396,100.454353211
276242:5069,07/02/16 14:05:34,1644,1644,285.191159238,271.462216740
276243:5069,07/03/16 00:56:20,608,608,83.258880743,78.522761751
276244:5069,07/03/16 05:04:17,1200,1200,138.578650970,133.636510752
276282:5071,07/03/16 18:15:01,1066,1066,216.663050824,207.841147022
276283:5071,07/04/16 01:14:13,1085,1085,175.297039197,168.603350497
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#9,37,17407,17407,2714.920921766,2601.669864444
#Check JSON:
#(run,ls) in json but not in results: []
