#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
276315:5072,07/04/16 11:19:05,176,176,36.328850311,34.412678160
276317:5072,07/04/16 12:33:38,136,136,27.578682642,26.592537821
276318:5072,07/04/16 13:30:33,566,566,102.480965160,98.975366403
276355:5073,07/04/16 21:39:48,33,33,6.541868981,6.271040336
276361:5073,07/04/16 22:36:15,824,824,157.000329080,151.012638764
276363:5073,07/05/16 04:07:36,1478,1478,217.820336354,208.305511696
276384:5073,07/05/16 13:47:06,1116,1116,126.164838694,122.563644709
276437:5076,07/06/16 02:58:47,2125,2125,374.099524845,359.764792289
276454:5076,07/06/16 18:08:15,527,527,66.435607680,64.517147127
276458:5076,07/07/16 02:00:22,341,341,34.238034926,33.452612981
276495:5078,07/07/16 11:20:57,182,182,40.326882261,38.488030602
276501:5078,07/07/16 12:47:40,2543,2543,420.926703378,405.660551584
276502:5078,07/08/16 05:21:18,740,740,88.850935775,86.178507983
276525:5080,07/08/16 14:15:18,2786,2786,420.837985124,406.753007380
276527:5080,07/09/16 08:34:41,214,214,23.371638603,22.643718460
276528:5080,07/09/16 10:01:49,391,391,39.731189681,38.702582788
276542:5083,07/09/16 16:32:22,784,784,157.798588995,150.098805451
276543:5083,07/09/16 21:39:40,948,948,155.234087086,149.648536727
276544:5083,07/10/16 03:53:47,160,160,23.109828771,22.197193950
276545:5083,07/10/16 04:59:24,206,206,27.832476617,26.880402773
276581:5085,07/10/16 12:24:16,366,366,77.978422505,74.866908706
276582:5085,07/10/16 14:52:29,871,871,156.864812998,151.514659477
276583:5085,07/10/16 20:34:28,52,52,8.338760874,7.915070046
276584:5085,07/10/16 20:59:17,2,2,0.319045210,0.174379041
276585:5085,07/10/16 21:31:21,242,242,36.762384917,35.229363846
276586:5085,07/10/16 23:10:31,751,751,101.184147534,97.861972170
276587:5085,07/11/16 04:13:21,1006,1006,112.642492660,108.607793120
276653:5091,07/12/16 00:12:31,479,479,90.614206104,87.327132589
276655:5091,07/12/16 03:26:27,1105,1105,173.634696293,163.109976308
276659:5091,07/12/16 10:39:13,251,251,33.183422416,30.365549386
276775:5093,07/12/16 21:26:20,1165,1165,220.884042731,209.558612598
276776:5093,07/13/16 05:02:29,1823,1823,246.879948103,238.494779793
276794:5093,07/13/16 17:05:19,885,885,90.241066532,87.941957009
276807:5095,07/14/16 03:24:10,155,155,32.621045156,30.768740691
276808:5095,07/14/16 04:28:59,875,875,165.849558195,159.470569997
276810:5095,07/14/16 10:15:44,287,287,47.154817361,45.167883971
276811:5095,07/14/16 12:15:34,2562,2562,314.081966226,304.356839086
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#10,37,29153,29153,4455.944190780,4285.851495814
#Check JSON:
#(run,ls) in json but not in results: []
