#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
276831:5096,07/15/16 07:47:46,2634,2634,420.195260954,404.186093024
276834:5096,07/16/16 01:42:10,719,719,76.124404517,73.217176781
276870:5097,07/16/16 11:02:01,3403,3403,551.979911450,531.765583211
276935:5101,07/17/16 23:39:55,824,824,181.424267936,171.845603331
276940:5102,07/18/16 08:13:36,144,144,34.321965754,29.025450952
276946:5102,07/18/16 09:56:36,27,27,6.236469333,4.299742150
276947:5102,07/18/16 10:11:19,132,132,29.577729073,24.873114274
276948:5102,07/18/16 11:09:47,474,474,96.567443962,86.854899201
276950:5102,07/18/16 14:16:45,2353,2353,340.675434082,326.195781331
277069:5105,07/19/16 17:52:15,309,309,79.982099155,76.408142669
277070:5105,07/19/16 19:54:11,1058,1058,219.842089051,208.687485916
277071:5105,07/20/16 02:48:37,171,171,29.568979681,26.613802570
277072:5105,07/20/16 04:01:41,464,464,72.355427679,69.830645322
277073:5105,07/20/16 07:09:53,90,90,13.273836797,12.867860522
277076:5105,07/20/16 07:55:58,1033,1033,132.130281394,127.053782854
277087:5105,07/20/16 17:49:22,988,988,90.155085389,87.060089979
277094:5106,07/21/16 04:03:56,582,582,138.144753067,132.577619208
277096:5106,07/21/16 07:56:14,2085,2085,336.654368434,323.779499519
277112:5106,07/21/16 21:29:34,155,155,18.210637399,17.565889335
277126:5107,07/22/16 01:36:48,18,18,4.513459305,1.989960970
277127:5107,07/22/16 01:46:10,901,901,193.479191579,185.988483389
277148:5108,07/22/16 10:31:04,616,616,135.428975490,129.584054569
277166:5109,07/22/16 18:10:23,354,354,75.180406088,71.423448381
277168:5109,07/22/16 20:34:53,2219,2219,333.819192255,322.020885436
277180:5110,07/23/16 13:37:57,141,141,34.065290099,31.605772175
277194:5111,07/23/16 18:25:08,1938,1938,390.541525162,371.051725367
277305:5116,07/25/16 01:23:14,683,683,164.878863000,156.008009316
277420:5117,07/25/16 19:45:01,260,260,65.221445330,61.594036863
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#13,28,24775,24775,4264.548793419,4065.974638614
#Check JSON:
#(run,ls) in json but not in results: []
