#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
277981:5151,08/01/16 11:52:59,75,75,4.845408097,4.507902098
277991:5151,08/01/16 15:43:56,85,85,4.895672858,4.650077156
277992:5151,08/01/16 16:22:25,311,311,17.432449079,16.565389561
278017:5154,08/01/16 23:26:43,510,510,133.349740080,126.317713418
278018:5154,08/02/16 02:52:01,1156,1156,227.089383440,216.262016005
278167:5161,08/03/16 18:39:02,2167,2167,331.252783940,317.529994813
278175:5161,08/04/16 08:44:58,88,88,9.356527739,9.121976662
278193:5162,08/04/16 12:31:44,155,155,36.753241269,34.971065750
278239:5163,08/04/16 23:23:01,663,663,143.221367103,134.595554925
278240:5163,08/05/16 03:46:54,1300,1300,207.013873194,198.739528903
278273:5169,08/05/16 17:37:20,36,36,7.254567458,5.915094696
278274:5169,08/05/16 17:55:42,84,84,19.547544485,18.218056266
278288:5170,08/05/16 21:11:12,15,15,3.780501843,2.906663809
278289:5170,08/05/16 21:18:02,50,50,11.092978165,9.557307644
278290:5170,08/05/16 21:42:34,11,11,2.643739516,2.448792358
278308:5173,08/06/16 13:00:39,1740,1740,332.202905064,316.338147437
278310:5173,08/07/16 00:47:36,708,708,92.157362854,89.216196554
278315:5179,08/07/16 10:56:52,693,693,151.256182473,138.937822674
278345:5181,08/08/16 00:13:39,746,746,165.117140398,151.740578409
278346:5181,08/08/16 05:08:15,117,117,22.419978138,21.342161258
278349:5181,08/08/16 06:27:06,613,613,100.048824988,95.653084650
278366:5181,08/08/16 10:36:47,453,453,62.155738603,59.965423895
278406:5183,08/08/16 17:15:50,1597,1597,316.165421406,300.016930515
278509:5187,08/09/16 18:29:15,1467,1467,297.804395859,276.277381767
278770:5197,08/13/16 06:54:00,767,767,172.788929204,165.550062142
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#13,25,15607,15607,2871.646657252,2717.344923364
#Check JSON:
#(run,ls) in json but not in results: []
