#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
297050:5839,06/16/17 20:55:44,709,709,97.085433568,94.724927124
297056:5840,06/17/17 05:01:32,185,185,31.348001582,29.288606076
297057:5840,06/17/17 06:18:36,873,873,117.049341321,114.452759090
297099:5842,06/17/17 19:23:59,39,39,7.762296593,7.194742167
297100:5842,06/17/17 19:41:21,366,366,75.754796660,72.334501900
297101:5842,06/17/17 22:12:25,1085,1085,165.994010155,161.966021469
297113:5845,06/18/17 12:43:12,235,235,55.412645197,52.136530078
297114:5845,06/18/17 14:21:04,155,155,33.937490827,32.863186358
297175:5848,06/19/17 19:04:40,75,75,16.871684645,15.880451078
297176:5848,06/19/17 19:42:18,196,196,41.673883380,39.921738085
297177:5848,06/19/17 21:04:30,157,157,31.301966643,30.311822584
297178:5848,06/19/17 22:09:07,1340,1340,198.288377060,194.468063589
297179:5848,06/20/17 07:09:38,87,87,9.642051659,9.401683396
297215:5849,06/20/17 13:53:03,47,47,13.026156119,12.287170329
297218:5849,06/20/17 14:14:26,15,15,4.047510614,3.701263178
297219:5849,06/20/17 14:26:07,2607,2607,434.538012416,421.745795411
297224:5849,06/21/17 07:56:03,125,125,11.823265290,11.615493281
297225:5849,06/21/17 08:49:06,25,25,2.302388844,2.194205949
297227:5849,06/21/17 09:04:44,184,184,15.814927684,15.669415559
297292:5856,06/22/17 02:42:29,734,734,181.372820315,171.490117528
297293:5856,06/22/17 07:41:33,139,139,28.639409365,27.186603594
297296:5856,06/22/17 08:47:07,478,478,87.503424011,84.206759796
297308:5856,06/22/17 12:06:46,44,44,6.548255964,6.297792183
297359:5862,06/23/17 03:26:00,49,49,14.430823227,13.794586943
297411:5864,06/23/17 13:36:11,907,907,209.472135418,201.578373742
297424:5865,06/24/17 00:42:54,114,114,33.173082742,31.269800334
297425:5865,06/24/17 01:29:38,149,149,42.621937327,41.145061056
297426:5865,06/24/17 02:30:35,97,97,26.099810857,24.960652985
297429:5865,06/24/17 03:24:57,71,71,18.062166670,17.366166389
297430:5865,06/24/17 04:03:47,199,199,48.207441721,46.126811782
297431:5865,06/24/17 05:23:08,174,174,39.048745176,37.653039228
