#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
299368:5962,07/18/17 16:10:10,126,126,38.636020432,32.735167307
299369:5962,07/18/17 17:05:01,302,302,87.990127656,78.459651363
299370:5962,07/18/17 19:39:20,666,666,152.316908326,142.303604252
299380:5963,07/19/17 02:35:27,189,189,59.289775674,54.165295464
299381:5963,07/19/17 04:00:43,45,45,13.446840033,11.928538266
299394:5965,07/19/17 07:30:38,21,21,5.659970552,5.344902351
299395:5965,07/19/17 07:42:23,182,182,56.506475332,39.129214598
299396:5965,07/19/17 08:55:05,81,81,24.115943848,17.198505302
299420:5966,07/19/17 12:04:46,47,47,15.028163493,13.229830392
299443:5971,07/20/17 00:32:54,20,20,7.083998328,5.608275797
299450:5974,07/20/17 04:37:49,45,45,13.376977116,12.395402757
299477:5976,07/20/17 12:44:20,8,8,2.618568677,2.023473025
299478:5976,07/20/17 13:06:43,172,172,50.296976035,45.187916780
299479:5976,07/20/17 14:18:01,116,116,33.535096008,29.876999041
299480:5976,07/20/17 15:07:52,710,710,178.371697553,165.274018375
299481:5976,07/20/17 19:55:18,1191,1191,199.412687595,189.184343569
299593:5979,07/21/17 18:23:44,790,790,194.797084992,182.394483280
299594:5979,07/21/17 23:38:54,309,309,64.749588322,60.686211094
299595:5979,07/22/17 01:48:02,134,134,25.721889393,25.010501672
299597:5979,07/22/17 02:46:03,537,537,89.206132066,85.369534691
299649:5984,07/24/17 02:38:21,182,182,62.620716435,56.767858018
300087:6019,07/29/17 06:24:18,189,189,13.286469563,12.856182676
300105:6020,07/29/17 12:14:52,12,12,2.741966083,1.261249532
300106:6020,07/29/17 12:26:04,70,70,23.219720886,19.537399978
300107:6020,07/29/17 12:58:01,46,46,14.877092812,13.369908268
300117:6021,07/29/17 16:46:31,28,28,7.664629121,6.067242576
300122:6024,07/29/17 21:46:18,1230,1230,322.811207299,293.521142936
300123:6024,07/30/17 05:57:59,597,597,106.567269371,101.250159207
300155:6026,07/30/17 18:50:27,1184,1184,310.329501086,282.029813016
300156:6026,07/31/17 02:33:41,64,64,12.831177345,11.779516713
300157:6026,07/31/17 03:14:44,1099,1099,177.344826647,167.472881182
300226:6030,07/31/17 17:04:00,401,401,129.718637416,115.963156766
300233:6031,07/31/17 22:09:16,106,106,36.661563077,31.640188821
300234:6031,07/31/17 22:55:49,52,52,17.139497964,14.608521827
300235:6031,07/31/17 23:21:52,171,171,53.962899911,49.530363276
300236:6031,08/01/17 00:39:29,168,168,49.933556611,46.368318253
300237:6031,08/01/17 01:48:17,713,713,175.158725964,163.752967700
300238:6031,08/01/17 06:39:51,280,280,53.667939200,50.321406573
300239:6031,08/01/17 08:36:42,195,195,33.770295369,31.288622406
300240:6031,08/01/17 10:11:20,345,345,50.568583813,47.846176444
300280:6035,08/02/17 04:48:55,515,515,159.141584792,139.408265460
300281:6035,08/02/17 09:00:44,6,6,1.624420807,1.496696184
300282:6035,08/02/17 09:08:14,127,127,33.639546538,30.814192281
300283:6035,08/02/17 10:20:31,26,26,6.535920647,5.816356476
300284:6035,08/02/17 10:35:38,679,679,142.047559335,133.886088169
300364:6041,08/03/17 12:13:45,15,15,4.922894280,3.982632804
300372:6041,08/03/17 13:32:05,8,8,2.388738180,1.983118550
300375:6041,08/03/17 13:58:15,93,93,26.669505437,24.814757460
300389:6044,08/03/17 18:48:33,98,98,32.420600563,26.869048324
300399:6044,08/03/17 21:15:04,17,17,5.093560399,4.232691009
300400:6044,08/03/17 21:26:33,671,671,173.658731543,161.513768265
300401:6044,08/04/17 02:03:03,655,655,123.619782871,116.732915044
300459:6046,08/04/17 12:17:41,286,286,91.166221264,81.507467561
300461:6046,08/04/17 14:16:24,88,88,26.139163338,23.737911206
300462:6046,08/04/17 14:56:36,91,91,25.829148113,23.357553070
300463:6046,08/04/17 15:38:40,124,124,33.204678521,30.793470370
300464:6046,08/04/17 16:34:29,234,234,58.396346282,54.223184550
300466:6046,08/04/17 18:25:04,643,643,129.842348963,121.744279383
300467:6046,08/04/17 22:39:50,562,562,85.280003015,80.529050284
300497:6048,08/05/17 07:33:17,133,133,46.354517344,40.034683964
300514:6050,08/05/17 12:01:59,95,95,33.026193502,29.355551128
300515:6050,08/05/17 12:46:59,894,894,257.344676302,238.582156174
300516:6050,08/05/17 19:30:10,100,100,21.565974163,19.603000481
300517:6050,08/05/17 20:16:08,529,529,97.530331189,92.323471209
300558:6052,08/06/17 11:30:09,534,534,128.252468420,119.182106694
300560:6052,08/06/17 15:03:15,840,840,149.112283091,140.271191652
300574:6053,08/07/17 02:52:07,89,89,27.930145492,24.120095675
300575:6053,08/07/17 03:34:38,44,44,14.045679791,12.558142702
300576:6053,08/07/17 04:08:51,1199,1199,297.775839103,278.621068973
300631:6054,08/07/17 15:34:38,147,147,48.532450663,42.706842144
300632:6054,08/07/17 16:47:35,16,16,5.101285966,4.065109395
300633:6054,08/07/17 16:58:51,447,447,131.621477852,120.792955622
300635:6054,08/07/17 20:07:40,174,174,45.275114403,41.778494528
300636:6054,08/07/17 21:23:44,1570,1570,286.541536849,270.292117762
300673:6055,08/08/17 10:50:17,16,16,5.458717747,5.054886858
300674:6055,08/08/17 11:03:35,28,28,9.128597728,7.854279484
300675:6055,08/08/17 11:18:43,10,10,3.316245305,2.899314888
300676:6055,08/08/17 11:31:55,25,25,8.070129246,7.291861853
300742:6057,08/08/17 17:08:58,288,288,96.843403933,83.983676455
300777:6060,08/09/17 04:48:45,482,482,145.338723381,130.414848659
300780:6060,08/09/17 08:01:22,330,330,85.229750563,79.071791829
300785:6060,08/09/17 10:49:33,1247,1247,224.643618848,212.773900813
300806:6061,08/09/17 21:47:44,174,174,64.565120201,54.218345718
300811:6061,08/09/17 23:03:45,498,498,162.101784698,144.699407171
300812:6061,08/10/17 02:25:24,57,57,16.321034547,14.797894266
300816:6061,08/10/17 02:54:46,135,135,37.047692715,34.740265127
300817:6061,08/10/17 03:55:18,460,460,107.187470440,99.409519417
301046:6072,08/12/17 01:36:15,62,62,4.479813742,4.222223948
301141:6082,08/14/17 12:14:40,7,7,0.973564218,0.939303609
