#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
302031:6147,08/30/17 08:08:29,804,804,132.595967801,128.521640249
302033:6147,08/30/17 13:34:23,39,39,5.342564041,5.173654019
302034:6147,08/30/17 13:54:42,4,4,0.540420629,0.483547685
302037:6147,08/30/17 14:25:38,1,1,0.131072011,0.060437380
302038:6147,08/30/17 14:31:57,1,1,0.130110447,0.008983229
302040:6147,08/30/17 14:35:43,168,168,21.432398940,20.954841358
302041:6147,08/30/17 15:44:00,65,65,7.907780326,7.738132615
302042:6147,08/30/17 16:12:11,514,514,55.967886342,54.983584720
302043:6147,08/30/17 19:35:17,228,228,21.191557441,20.761524192
302131:6152,08/31/17 12:32:49,873,873,114.100109511,111.634653405
302159:6155,09/01/17 00:38:55,105,105,16.670118792,16.076608996
302163:6156,09/01/17 03:34:09,1186,1186,151.179941214,146.312057980
302165:6156,09/01/17 11:25:52,78,78,7.044664822,6.889944647
302166:6156,09/01/17 11:58:48,16,16,1.543378999,1.518819685
302225:6158,09/01/17 18:41:42,868,868,117.430287998,114.788470144
302228:6159,09/02/17 03:31:11,232,232,39.385524171,38.240723608
302229:6159,09/02/17 05:05:33,457,457,69.211591788,67.570785943
302240:6160,09/02/17 10:53:49,959,959,141.757183161,138.868374450
302262:6161,09/03/17 03:32:47,425,425,78.294939629,75.969816332
302263:6161,09/03/17 06:21:33,1249,1249,168.826428573,165.275648416
302277:6165,09/03/17 22:47:36,369,369,55.101590285,53.761113498
302279:6165,09/04/17 07:35:57,68,68,6.199096994,5.862908523
302280:6165,09/04/17 08:06:51,152,152,12.808800096,12.611393478
302322:6167,09/04/17 17:44:13,835,835,99.084538805,96.870473966
302328:6168,09/05/17 01:50:14,678,678,95.626879012,93.450402997
302337:6169,09/05/17 09:18:04,124,124,21.445801588,20.376769788
302342:6169,09/05/17 10:22:40,54,54,9.166992225,6.933228005
302343:6169,09/05/17 10:52:16,97,97,15.871196989,15.318243929
302344:6169,09/05/17 11:33:14,480,480,70.481220542,68.798123858
302350:6169,09/05/17 15:02:18,136,136,16.753059009,16.492993414
302388:6170,09/05/17 18:47:49,680,680,129.499281918,126.263558288
302392:6171,09/06/17 01:58:24,346,346,77.100127069,74.911825612
302393:6171,09/06/17 04:19:09,887,887,160.742390876,157.322303049
302448:6174,09/06/17 20:49:55,1895,1895,314.912514963,307.866591197
302472:6175,09/07/17 11:28:08,771,771,159.294021436,154.748577425
302473:6175,09/07/17 16:32:57,368,368,62.080005587,60.432747575
302474:6175,09/07/17 19:17:17,305,305,45.529149763,43.413266670
302475:6175,09/07/17 21:17:58,2,2,0.283687823,0.099575930
302476:6175,09/07/17 21:22:33,259,259,34.366509859,33.417296836
302479:6176,09/08/17 01:20:30,307,307,71.139316370,68.380572058
302484:6177,09/08/17 06:07:18,163,163,37.473538040,36.414085905
302485:6177,09/08/17 07:17:25,922,922,179.207049167,173.348265721
302492:6177,09/08/17 13:49:02,44,44,6.976952038,6.787590658
302493:6177,09/08/17 14:09:59,1,1,0.156963387,0.141709663
302494:6177,09/08/17 14:13:24,618,618,88.321293600,86.352322206
302509:6179,09/08/17 23:12:14,20,20,5.151812558,4.987039664
302513:6180,09/09/17 02:19:46,50,50,12.658071045,12.202645163
302522:6182,09/09/17 07:22:46,3,3,0.724818491,0.508554539
302523:6182,09/09/17 07:29:07,48,48,11.239544719,10.748270615
302525:6182,09/09/17 07:58:46,698,698,139.095622780,134.810290454
302526:6182,09/09/17 13:00:58,582,582,90.482647976,88.305523898
302548:6185,09/10/17 02:00:17,73,73,16.160080944,15.739562341
302551:6185,09/10/17 02:41:42,1,1,0.219632631,0.103949017
302553:6185,09/10/17 02:50:55,182,182,37.862880870,37.036843235
302554:6185,09/10/17 04:05:18,1,1,0.198653573,0.091438007
302555:6185,09/10/17 04:09:27,10,10,1.978874246,1.909606566
302563:6186,09/10/17 07:13:28,2,2,0.470475115,0.320075454
302565:6186,09/10/17 07:21:03,1,1,0.232836441,0.149415703
302572:6186,09/10/17 08:51:54,278,278,55.205634813,53.765254882
302573:6186,09/10/17 10:44:44,1247,1247,191.886417713,187.919165463
302596:6189,09/11/17 03:29:56,916,916,178.362838022,173.172028270
302597:6189,09/11/17 09:35:10,1054,1054,148.097115638,145.123420164
302634:6191,09/12/17 01:21:56,575,575,121.181351788,116.389673018
302635:6191,09/12/17 05:18:01,1252,1252,189.629659776,184.469237591
302651:6192,09/12/17 16:37:00,145,145,33.056433560,30.035338288
302654:6192,09/12/17 17:38:00,317,317,65.600498381,63.967438214
302661:6193,09/12/17 22:27:07,51,51,10.486398905,9.465407772
302663:6193,09/12/17 23:00:30,706,706,137.829628392,134.253685396
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#27,68,27045,27045,4368.117832453,4247.682053019
#Check JSON:
#(run,ls) in json but not in results: []
