#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
303825:6239,09/24/17 07:38:22,180,180,23.267728249,22.834484260
303832:6240,09/24/17 11:12:03,1857,1857,330.988230212,321.325967973
303838:6241,09/25/17 01:48:14,1962,1962,392.501205293,380.035364518
303885:6243,09/25/17 19:09:18,1991,1991,415.190816630,400.158999131
303948:6245,09/26/17 12:47:20,1624,1624,366.223326818,351.609948472
303998:6247,09/27/17 07:04:50,258,258,78.133191774,73.026070550
303999:6247,09/27/17 08:51:42,744,744,179.194599864,172.738813239
304000:6247,09/27/17 13:43:21,56,56,10.854211484,10.644324264
304062:6252,09/27/17 20:37:25,1960,1960,394.814976507,382.104603405
304119:6253,09/28/17 12:28:48,68,68,22.936793263,20.997148805
304120:6253,09/28/17 13:00:38,248,248,76.371718011,72.288317732
304125:6253,09/28/17 14:40:12,1769,1769,347.273370333,338.100566023
304144:6255,09/29/17 05:27:56,2579,2579,556.383613604,533.880990524
304158:6258,09/30/17 06:34:02,1920,1920,382.727245829,370.884680204
304169:6259,09/30/17 22:12:01,1666,1666,349.924791502,338.518798869
304170:6259,10/01/17 09:08:28,614,614,76.249538984,74.815981252
304199:6261,10/01/17 18:52:32,3,3,0.946519571,0.042162679
304200:6261,10/01/17 18:55:56,321,321,92.919220871,88.141922514
304204:6262,10/01/17 23:41:28,553,553,162.979487032,153.181547785
304209:6263,10/02/17 05:33:50,404,404,125.780267572,116.173535710
304291:6266,10/02/17 17:40:12,22,22,5.820331059,3.372765122
304292:6266,10/02/17 17:51:42,1753,1753,367.803706394,347.239886964
304333:6268,10/03/17 11:50:16,1580,1580,382.161342339,366.646071087
304354:6269,10/04/17 03:17:59,214,214,72.347948337,68.254535430
304366:6271,10/04/17 09:20:21,1818,1818,435.431762692,419.018022402
304446:6272,10/05/17 00:46:48,53,53,18.805639941,16.790733905
304447:6272,10/05/17 01:17:36,1638,1638,385.954233107,368.514942591
304451:6272,10/05/17 12:14:42,54,54,7.874267428,7.415690457
304505:6275,10/05/17 18:53:15,23,23,8.093444665,7.711608028
304506:6275,10/05/17 19:04:50,370,370,124.625293933,119.535842415
304507:6275,10/05/17 21:32:15,234,234,68.974404783,50.591786627
304508:6275,10/05/17 23:07:03,1324,1324,254.739966846,248.024589686
304562:6276,10/06/17 12:30:33,792,792,234.893922950,221.933737830
304616:6278,10/06/17 22:15:30,939,939,266.813152595,252.446890066
304625:6279,10/07/17 07:35:53,461,461,154.574720585,136.309937638
304626:6279,10/07/17 10:38:44,8,8,2.531789094,2.315882331
304654:6283,10/08/17 01:25:39,644,644,205.295912649,173.597580012
304655:6283,10/08/17 05:39:51,1191,1191,238.163807627,229.947013947
304661:6284,10/08/17 15:49:49,141,141,48.713662074,46.163718698
304662:6284,10/08/17 17:02:49,142,142,45.623126698,43.509010357
304663:6284,10/08/17 18:01:29,686,686,184.702254910,177.083904659
304671:6285,10/09/17 00:42:58,1134,1134,324.068632977,308.364238795
304672:6285,10/09/17 08:09:10,60,60,12.453585480,12.167963490
304737:6287,10/09/17 19:53:10,75,75,25.833797366,24.061358178
304738:6287,10/09/17 20:24:42,1676,1676,425.752688720,409.354390679
304739:6287,10/10/17 07:20:18,11,11,1.730050940,1.550956104
304740:6287,10/10/17 07:25:27,278,278,40.808990683,39.852170221
304776:6288,10/10/17 12:08:18,31,31,10.676181695,9.373711288
304777:6288,10/10/17 12:27:41,497,497,164.395026346,156.559622608
304778:6288,10/10/17 15:47:07,1297,1297,273.930563854,266.216592893
304797:6291,10/11/17 07:04:09,2908,2908,579.378358716,557.402678992
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#29,51,42831,42831,9758.633420885,9312.832061407
#Check JSON:
#(run,ls) in json but not in results: []
