#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
305044:6297,10/13/17 21:00:45,218,218,71.576279522,67.132643532
305045:6297,10/13/17 23:11:07,871,871,211.072599630,202.352037929
305046:6297,10/14/17 04:51:45,683,683,111.406155964,108.548625698
305059:6298,10/14/17 11:45:00,509,509,172.401261299,157.786385552
305062:6298,10/14/17 15:13:17,5,5,1.683914803,1.305638199
305063:6298,10/14/17 15:18:15,35,35,11.546876142,9.565484581
305064:6298,10/14/17 15:34:27,2044,2044,391.544311309,380.018945369
305081:6300,10/15/17 09:06:21,1054,1054,333.294123279,315.140452825
305112:6303,10/15/17 23:07:00,1455,1455,419.299791754,400.956803568
305113:6303,10/16/17 08:40:46,59,59,11.402734211,10.930751748
305114:6303,10/16/17 09:05:22,526,526,87.283979668,85.167817612
305178:6304,10/16/17 17:19:50,52,52,18.111643860,17.181663465
305179:6304,10/16/17 17:41:42,16,16,5.573585423,3.856497282
305180:6304,10/16/17 17:50:42,5,5,1.728826452,0.554953778
305181:6304,10/16/17 17:55:03,7,7,2.465673730,0.585574171
305182:6304,10/16/17 18:00:34,5,5,1.738957954,0.951367480
305183:6304,10/16/17 18:04:56,232,232,80.660376714,77.319804013
305184:6304,10/16/17 19:50:14,4,4,1.373728429,0.103732080
305186:6304,10/16/17 19:58:49,415,415,127.495967047,122.050117782
305188:6304,10/16/17 23:07:05,1002,1002,204.476365373,198.329647095
305202:6305,10/17/17 08:18:29,638,638,217.157871436,207.759559387
305204:6305,10/17/17 13:20:31,1229,1229,262.804246578,254.512561880
305207:6306,10/17/17 23:34:03,1025,1025,331.057914993,318.101281242
305208:6306,10/18/17 06:15:41,372,372,86.604555859,83.056035872
305234:6307,10/18/17 11:00:15,41,41,14.318486925,12.655353682
305236:6307,10/18/17 11:28:42,20,20,6.968178137,6.483683369
305237:6307,10/18/17 11:42:18,1146,1146,353.830402966,337.866397963
305247:6308,10/18/17 23:58:28,371,371,129.358989307,122.425910964
305248:6308,10/19/17 02:26:29,951,951,271.546804683,257.882529962
305252:6308,10/19/17 09:09:00,548,548,97.354286683,95.039739196
305282:6309,10/19/17 15:28:19,133,133,46.409666260,44.344542274
305310:6311,10/19/17 20:28:01,386,386,134.495892427,127.514928691
305311:6311,10/19/17 23:03:23,150,150,49.717054303,47.386625109
305312:6311,10/20/17 00:05:08,226,226,72.089837230,68.271225960
305313:6311,10/20/17 01:35:47,733,733,176.940907631,170.164196838
305314:6311,10/20/17 06:25:45,404,404,70.088391810,68.334405715
305336:6312,10/20/17 12:11:09,203,203,70.077216173,66.202888426
305338:6312,10/20/17 13:32:38,101,101,34.662969931,33.111038670
305341:6312,10/20/17 14:14:05,499,499,159.094614114,151.780462943
305349:6312,10/20/17 17:29:36,16,16,4.429553841,3.880846146
305350:6312,10/20/17 17:43:01,15,15,4.064653168,3.820111003
305351:6312,10/20/17 17:51:38,867,867,184.753526355,178.341011122
305358:6313,10/21/17 02:01:05,150,150,52.412278263,48.578472010
305364:6314,10/21/17 05:43:21,92,92,31.821405426,30.414384804
