#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
315257:6615,04/26/18 21:09:40,90,90,8.301503709,7.929496564
315259:6615,04/26/18 21:54:51,172,172,14.285583208,13.918864081
315264:6616,04/27/18 02:45:32,228,228,41.077596534,39.704128811
315265:6616,04/27/18 04:20:05,40,40,6.809335617,6.454618683
315267:6616,04/27/18 04:59:11,244,244,38.219373211,37.143902131
315270:6616,04/27/18 06:44:15,633,633,80.765636661,78.982147075
315322:6617,04/27/18 14:41:34,1328,1328,184.163138189,180.062919631
315339:6618,04/28/18 03:06:24,618,618,95.692136683,93.349061379
315357:6620,04/28/18 19:32:25,776,776,155.879641596,151.930725236
315361:6621,04/29/18 03:17:57,578,578,122.060921913,118.280418815
315363:6621,04/29/18 07:08:34,86,86,14.901514558,14.489095641
315366:6621,04/29/18 08:43:30,736,736,101.760562054,100.182759631
315420:6624,04/29/18 23:54:09,1707,1707,264.161505744,258.566396178
315488:6628,04/30/18 19:08:38,802,802,195.813244519,190.565167879
315489:6628,05/01/18 02:09:59,691,691,105.241607901,103.438885610
315490:6628,05/01/18 06:53:23,24,24,2.554460032,2.521006920
315506:6629,05/01/18 10:08:39,88,88,29.450788940,27.983476571
315510:6629,05/01/18 11:10:29,345,345,106.813323049,103.173372130
315512:6629,05/01/18 13:27:08,1122,1122,241.306153989,236.873085441
315543:6633,05/02/18 04:09:49,117,117,37.860904566,36.886687083
315555:6636,05/02/18 09:42:48,73,73,23.302472464,21.969124199
315556:6636,05/02/18 10:15:53,26,26,8.976443276,8.395284383
315557:6636,05/02/18 10:30:09,279,279,86.273212433,84.135253384
315640:6638,05/02/18 21:31:41,42,42,14.924955854,10.512585467
315641:6638,05/02/18 21:56:12,4,4,1.524413513,1.237321432
315642:6638,05/02/18 22:03:16,92,92,32.715088401,31.431395849
315644:6638,05/02/18 22:42:00,184,184,64.786702082,63.160277235
315645:6638,05/02/18 23:58:43,583,583,165.008644924,161.091767917
315646:6638,05/03/18 03:51:56,1033,1033,195.446371374,191.965410590
315647:6638,05/03/18 10:38:46,58,58,8.667561238,8.018222745
315648:6638,05/03/18 11:04:01,110,110,15.513783381,15.226193204
315689:6639,05/03/18 14:58:22,1111,1111,339.287921185,329.961140340
315690:6639,05/03/18 22:39:08,645,645,121.163042810,119.002428296
315702:6640,05/04/18 08:08:15,75,75,24.261906769,22.853257766
315703:6640,05/04/18 08:40:27,541,541,162.493051571,158.162956891
315704:6640,05/04/18 12:15:58,61,61,15.167132644,14.739086275
315705:6640,05/04/18 12:42:46,698,698,134.634398308,132.385263994
315713:6641,05/04/18 19:35:25,1061,1061,365.754044398,353.737206773
315721:6642,05/05/18 05:08:14,588,588,218.198192760,210.266664205
315741:6643,05/05/18 11:57:43,59,59,25.217811071,23.717345741
315764:6645,05/05/18 15:48:29,273,273,119.106780671,114.012549370
315770:6646,05/06/18 02:20:23,294,294,126.217608654,121.797651125
315784:6648,05/06/18 11:07:00,126,126,53.714745291,51.800303270
315785:6648,05/06/18 12:23:07,303,303,109.413795147,106.004136079
315786:6648,05/06/18 14:25:10,72,72,22.718539064,21.848285279
315790:6648,05/06/18 18:12:51,919,919,176.393930397,173.124269962
315800:6650,05/07/18 06:55:20,581,581,213.137165575,206.216972022
315801:6650,05/07/18 10:57:12,344,344,101.138786059,98.535193297
315840:6654,05/07/18 21:19:16,1122,1122,364.441939947,354.113911246
315973:6659,05/08/18 23:33:11,855,855,285.941018911,278.588157858
315974:6659,05/09/18 05:17:09,71,71,19.080287668,18.532307687
316058:6662,05/09/18 20:47:16,361,361,141.638641710,137.198259289
316059:6662,05/09/18 23:10:21,566,566,178.383039507,170.428067354
316060:6662,05/10/18 02:53:15,935,935,203.916010050,198.480125637
316061:6662,05/10/18 09:00:15,36,36,6.254626817,6.146938699
316062:6662,05/10/18 10:24:04,4,4,0.709715262,0.698285158
316082:6663,05/10/18 12:45:58,371,371,145.839976484,141.360753607
316110:6666,05/10/18 21:22:27,210,210,84.663261749,81.970170818
316111:6666,05/10/18 22:46:45,45,45,16.576198628,15.162073530
316113:6666,05/10/18 23:16:41,62,62,21.626808349,20.491413654
316114:6666,05/10/18 23:42:59,1561,1561,377.647738175,367.996897026
316153:6672,05/11/18 17:03:13,770,770,263.571828083,256.242639111
316186:6674,05/12/18 03:00:17,41,41,15.835451651,15.153805115
316187:6674,05/12/18 03:18:33,1970,1970,534.590854945,512.431783441
316199:6675,05/12/18 18:55:11,1164,1164,416.069318102,401.964284850
316200:6675,05/13/18 02:29:14,9,9,2.372999807,2.226191919
316201:6675,05/13/18 02:36:34,491,491,114.515885953,110.093664844
316202:6675,05/13/18 05:53:19,403,403,77.434461110,75.106417580
316216:6677,05/13/18 11:57:38,440,440,178.428458674,171.480474656
316217:6677,05/13/18 15:05:03,264,264,91.442477451,88.159460648
316218:6677,05/13/18 16:52:47,1008,1008,250.382188291,243.233911034
316219:6677,05/13/18 23:33:19,283,283,50.388155232,48.978611516
316239:6681,05/14/18 05:52:32,589,589,217.723473286,209.320577239
316240:6681,05/14/18 09:45:29,1222,1222,293.184839909,283.683861562
316241:6681,05/14/18 17:44:39,325,325,55.296361288,53.194570684
316271:6683,05/15/18 00:23:54,86,86,32.067477797,29.698354642
316361:6688,05/15/18 17:14:35,182,182,27.415887262,26.413887099
316362:6688,05/15/18 18:35:04,425,425,55.678975008,53.916087684
316363:6688,05/15/18 21:30:58,46,46,4.717233827,4.611484934
316377:6690,05/16/18 01:56:02,21,21,3.238999182,1.986069877
316378:6690,05/16/18 02:06:22,29,29,6.210418338,3.336672805
316379:6690,05/16/18 02:20:12,70,70,14.591106640,8.222157396
316380:6690,05/16/18 02:51:00,1208,1208,179.336474347,175.280166302
316455:6693,05/16/18 19:16:25,36,36,9.914479484,9.607183902
316457:6693,05/16/18 19:38:28,1454,1454,335.726475956,326.275938491
316469:6694,05/17/18 07:48:25,428,428,154.006792873,148.879221563
316470:6694,05/17/18 11:54:09,476,476,121.012239675,116.870246418
316472:6694,05/17/18 15:00:34,328,328,68.118643671,66.237491456
316505:6696,05/18/18 00:24:11,1319,1319,414.505290921,401.222650822
316569:6700,05/19/18 02:15:13,1888,1888,499.437562071,485.572357184
316590:6702,05/19/18 20:55:25,510,510,195.348630460,189.248931627
316613:6706,05/20/18 07:52:22,193,193,32.123857222,31.466211355
316615:6706,05/20/18 09:12:45,338,338,50.039803436,49.127397051
316666:6709,05/20/18 21:51:33,976,976,289.345879324,279.383149710
316667:6709,05/21/18 04:15:41,197,197,43.606535439,42.140302827
316700:6710,05/21/18 11:45:22,301,301,118.084630582,114.305225491
316701:6710,05/21/18 14:12:33,474,474,149.283392605,143.934331464
316702:6710,05/21/18 17:21:19,388,388,98.397594631,95.462416796
316715:6711,05/22/18 01:10:33,13,13,3.351276334,3.000556877
316716:6711,05/22/18 01:30:21,174,174,67.181759406,61.793306523
316717:6711,05/22/18 02:44:00,190,190,65.958856970,63.386388654
316718:6711,05/22/18 04:00:35,311,311,93.702615133,90.223176715
316719:6711,05/22/18 06:17:36,131,131,34.123429196,32.449668885
316720:6711,05/22/18 07:16:06,182,182,43.150901123,41.732332897
316721:6711,05/22/18 08:29:42,15,15,3.344681009,3.260094406
316722:6711,05/22/18 08:45:58,747,747,139.195624333,134.761086932
316723:6711,05/22/18 13:38:48,64,64,9.830608733,9.621164765
316758:6712,05/22/18 16:43:00,1599,1599,472.005570858,455.685588214
